NodiRimossi,Fallimento per liquidità,Fallimento per path inesistente,Media hop
0,48.1800,19.3600,3.9513
1,46.5100,23.3000,4.1020
2,41.7300,30.7400,4.1896
3,37.5300,36.4800,4.2913
4,37.4200,38.4100,4.3595
5,28.3800,47.5400,4.3879
6,28.8100,48.0600,4.3294
7,20.3800,55.8500,4.4182
8,20.0100,58.1900,4.4940
9,19.1800,58.9300,4.4660
10,19.4300,59.1100,4.4907
11,19.2500,59.4200,4.5818
12,18.8000,59.1500,4.5769
13,19.2000,59.3400,4.6743
14,18.7100,61.0500,4.6917
15,18.2100,60.8600,4.6880
16,17.4200,63.0300,4.7729
17,17.4700,62.5200,4.7956
18,17.5800,63.4700,4.8929
19,17.6200,63.7800,4.8882
20,17.3500,63.9600,4.8518
21,16.7300,64.6700,4.9618
22,17.8700,63.5200,4.9011
23,16.5000,65.3800,4.9376
24,17.0400,64.7500,4.9495
25,16.9400,65.1900,4.9888
26,17.6300,63.6100,4.9686
27,16.6600,65.3000,4.9928
28,16.8900,64.7900,4.9858
29,16.3800,65.5100,5.0210
30,17.1900,64.8700,5.0507
31,16.0900,66.4500,5.0704
32,15.8600,66.3400,5.1270
33,16.2100,66.3100,5.0961
34,16.9000,65.6100,5.1618
35,15.7200,67.0600,5.1022
36,16.6500,66.3700,5.1643
37,17.0100,66.0800,5.1679
38,16.3300,67.0600,5.1890
39,15.8500,67.0700,5.1956
40,16.6400,66.8800,5.2075
41,15.8800,68.1100,5.1980
42,15.7100,67.7700,5.2040
43,15.5300,67.7300,5.2599
44,15.5300,67.8800,5.1766
45,15.5800,67.8000,5.2166
46,16.2800,67.1800,5.3664
47,15.6500,67.3800,5.3047
48,15.3200,67.3100,5.2406
49,16.3700,66.5600,5.2835
50,15.6600,67.8100,5.2523
51,15.6000,68.3000,5.2820
52,15.5800,68.5900,5.3234
53,14.9300,68.5700,5.3448
54,15.3300,68.4100,5.3690
55,15.0500,69.1700,5.3638
56,15.4000,69.1300,5.3445
57,14.9500,68.9100,5.3147
58,15.0100,69.1500,5.4444
59,16.0700,68.2600,5.3452
60,14.9600,68.3400,5.3078
61,14.5400,69.9800,5.3921
62,14.9800,70.4200,5.4349
63,14.9300,69.9600,5.3726
64,15.3600,69.2300,5.4199
65,14.9000,70.3200,5.5210
66,15.0700,69.9300,5.6113
67,14.4200,70.8200,5.6612
68,14.5000,70.6300,5.5124
69,14.5200,70.6400,5.5445
70,15.0100,69.9000,5.5977
71,14.6000,70.9800,5.5055
72,14.4100,70.6500,5.6185
73,14.5400,70.1600,5.6072
74,14.7500,70.4000,5.5091
75,14.5900,71.1600,5.6077
76,14.0200,72.4600,5.5777
77,13.8000,71.0800,5.6812
78,14.0900,72.0100,5.5662
79,13.9500,71.4000,5.6451
80,14.1400,71.4600,5.6618
81,13.7000,71.8700,5.6681
82,13.5700,72.0700,5.6316
83,13.8900,71.5700,5.6444
84,14.2300,71.3100,5.5242
85,14.0800,71.6500,5.5627
86,13.8600,71.8400,5.5916
87,13.7300,71.9300,5.5132
88,14.1700,71.9600,5.6027
89,14.2400,71.4200,5.5976
90,13.3200,72.5200,5.6321
91,13.6400,72.4600,5.7388
92,13.6700,72.1500,5.6876
93,13.9700,71.9900,5.6674
94,14.1000,71.7700,5.6610
95,12.7600,73.5300,5.6710
96,13.3400,72.7700,5.6933
97,14.0200,72.2900,5.7414
98,13.4300,72.4100,5.8008
99,13.7200,72.4000,5.7341
100,12.7200,73.2800,5.8614
101,13.9700,71.8000,5.7871
102,13.5600,72.6500,5.8535
103,13.1200,72.9700,5.7498
104,13.5600,72.8800,5.9027
105,13.8600,72.5400,5.7971
106,13.1200,73.0800,5.7406
107,13.4000,73.3800,5.8306
108,13.2200,73.6300,5.8821
109,13.9100,73.2000,5.8503
110,13.1500,72.7700,5.9126
111,13.1200,72.8100,5.9104
112,13.0500,73.5900,5.8443
113,12.9300,73.8300,5.9184
114,12.9900,74.1500,5.9114
115,13.1900,73.5700,5.9569
116,12.4700,74.1100,5.9896
117,13.5400,73.1900,5.9578
118,12.7800,74.4100,5.8798
119,12.5600,74.0600,5.9208
120,12.9200,73.3300,5.9876
121,13.0400,73.8100,5.9772
122,13.3900,73.5000,5.9741
123,13.1600,73.7500,6.0413
124,12.4400,73.9400,5.9838
125,13.0200,74.0700,5.9954
126,12.0500,74.9600,5.9169
127,13.5900,72.8000,6.0485
128,13.0400,73.5900,5.9985
129,12.8400,73.8400,6.0120
130,12.8200,74.1100,6.0069
131,12.5300,74.2300,5.9864
132,12.4900,74.1900,5.9407
133,12.8000,74.1600,6.0690
134,12.6100,74.4100,6.1541
135,13.2100,73.6500,6.0951
136,12.7900,73.8700,6.0420
137,12.4700,74.4800,6.0391
138,12.3900,74.4300,6.0539
139,12.3800,75.0800,6.1563
140,13.0500,74.2900,6.0924
141,12.7000,74.7600,6.0383
142,12.8900,74.7800,6.0057
143,12.5200,74.5900,6.1055
144,12.7900,74.8100,6.0379
145,12.5200,75.4900,6.0801
146,12.6900,74.6800,6.0380
147,12.3500,75.0000,6.1241
148,12.4800,75.2200,6.1764
149,12.3100,75.4000,6.0464
150,12.8900,75.1400,6.1145
